"Gene","GeneSymbol","Chr","start","end","band","cytoband","isCentromer","ensembl_gene_id","hgnc_symbol","entrezgene_id","description"
"ENSG00000210127","MT-TA","MT",5587,5655,"","MT","no","ENSG00000210127","MT-TA",NA,"mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]"
"ENSG00000210135","MT-TN","MT",5657,5729,"","MT","no","ENSG00000210135","MT-TN",NA,"mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]"
"ENSG00000210140","MT-TC","MT",5761,5826,"","MT","no","ENSG00000210140","MT-TC",NA,"mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]"
"ENSG00000210144","MT-TY","MT",5826,5891,"","MT","no","ENSG00000210144","MT-TY",NA,"mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]"
"ENSG00000198804","MT-CO1","MT",5904,7445,"","MT","no","ENSG00000198804","MT-CO1",4512,"mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]"
"ENSG00000210151","MT-TS1","MT",7446,7514,"","MT","no","ENSG00000210151","MT-TS1",113219467,"mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]"
"ENSG00000210154","MT-TD","MT",7518,7585,"","MT","no","ENSG00000210154","MT-TD",NA,"mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]"
"ENSG00000198712","MT-CO2","MT",7586,8269,"","MT","no","ENSG00000198712","MT-CO2",4513,"mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]"
"ENSG00000210156","MT-TK","MT",8295,8364,"","MT","no","ENSG00000210156","MT-TK",NA,"mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]"
"ENSG00000228253","MT-ATP8","MT",8366,8572,"","MT","no","ENSG00000228253","MT-ATP8",4509,"mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]"
"ENSG00000198899","MT-ATP6","MT",8527,9207,"","MT","no","ENSG00000198899","MT-ATP6",4508,"mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]"
"ENSG00000198938","MT-CO3","MT",9207,9990,"","MT","no","ENSG00000198938","MT-CO3",4514,"mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]"
"ENSG00000210164","MT-TG","MT",9991,10058,"","MT","no","ENSG00000210164","MT-TG",NA,"mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]"
"ENSG00000198840","MT-ND3","MT",10059,10404,"","MT","no","ENSG00000198840","MT-ND3",4537,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]"
"ENSG00000210174","MT-TR","MT",10405,10469,"","MT","no","ENSG00000210174","MT-TR",NA,"mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]"
"ENSG00000212907","MT-ND4L","MT",10470,10766,"","MT","no","ENSG00000212907","MT-ND4L",4539,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]"
"ENSG00000198886","MT-ND4","MT",10760,12137,"","MT","no","ENSG00000198886","MT-ND4",4538,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]"
"ENSG00000210176","MT-TH","MT",12138,12206,"","MT","no","ENSG00000210176","MT-TH",NA,"mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]"
"ENSG00000210184","MT-TS2","MT",12207,12265,"","MT","no","ENSG00000210184","MT-TS2",NA,"mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]"
"ENSG00000210191","MT-TL2","MT",12266,12336,"","MT","no","ENSG00000210191","MT-TL2",NA,"mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]"
"ENSG00000198786","MT-ND5","MT",12337,14148,"","MT","no","ENSG00000198786","MT-ND5",4540,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"
"ENSG00000198695","MT-ND6","MT",14149,14673,"","MT","no","ENSG00000198695","MT-ND6",4541,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"ENSG00000210194","MT-TE","MT",14674,14742,"","MT","no","ENSG00000210194","MT-TE",NA,"mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]"
"ENSG00000198727","MT-CYB","MT",14747,15887,"","MT","no","ENSG00000198727","MT-CYB",4519,"mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]"
"ENSG00000210195","MT-TT","MT",15888,15953,"","MT","no","ENSG00000210195","MT-TT",NA,"mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]"
"ENSG00000210196","MT-TP","MT",15956,16023,"","MT","no","ENSG00000210196","MT-TP",NA,"mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]"
"ENSG00000292328","RPL14P5","Y",1008503,1010101,"p11.2","Yp","no","ENSG00000292328","RPL14P5",NA,"ribosomal protein L14 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37720]"
"ENSG00000292329","","Y",253743,255091,"p11.32","Yp","no","ENSG00000292329","",NA,"regucalcin (RGN) pseudogene"
"ENSG00000292337","DHRSX-IT1","Y",2334295,2336410,"p11.2","Yp","no","ENSG00000292337","DHRSX-IT1",NA,"DHRSX intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:38713]"
"ENSG00000292338","DHRSX","Y",2219506,2502805,"p11.2","Yp","no","ENSG00000292338","DHRSX",207063,"dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]"
"ENSG00000292342","LINC00685","Y",320990,321851,"p11.31","Yp","no","ENSG00000292342","LINC00685",NA,"long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560]"
"ENSG00000292346","MIR6089","Y",2609191,2609254,"p11.2","Yp","no","ENSG00000292346","MIR6089",102464837,"microRNA 6089 [Source:HGNC Symbol;Acc:HGNC:50179]"
"ENSG00000292347","LINC00102","Y",2612988,2615347,"p11.2","Yp","no","ENSG00000292347","LINC00102",100359394,"long intergenic non-protein coding RNA 102 [Source:HGNC Symbol;Acc:HGNC:30470]"
"ENSG00000292350","","Y",388100,388389,"p11.31","Yp","no","ENSG00000292350","",NA,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]"
"ENSG00000292352","FABP5P13","Y",523775,524102,"p11.31","Yp","no","ENSG00000292352","FABP5P13",NA,"fatty acid binding protein 5 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:38717]"
"ENSG00000292353","KRT18P53","Y",545236,545352,"p11.31","Yp","no","ENSG00000292353","KRT18P53",NA,"keratin 18 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38714]"
"ENSG00000292354","SHOX","Y",624344,659411,"p11.2","Yp","no","ENSG00000292354","SHOX",6473,"SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853]"
"ENSG00000292355","MIR3690","Y",1293918,1293992,"p11.2","Yp","no","ENSG00000292355","MIR3690",100500894,"microRNA 3690 [Source:HGNC Symbol;Acc:HGNC:38967]"
"ENSG00000292356","RNA5SP498","Y",1300256,1300375,"p11.2","Yp","no","ENSG00000292356","RNA5SP498",NA,"RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]"
"ENSG00000292361","CD99P1","Y",2609415,2623453,"p11.2","Yp","no","ENSG00000292361","CD99P1",NA,"CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]"
"ENSG00000292363","CRLF2","Y",1190490,1212723,"p11.2","Yp","no","ENSG00000292363","CRLF2",64109,"cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]"
"ENSG00000292336","ASMT","Y",1615059,1643081,"p11.2","Yp","no","ENSG00000292336","ASMT",438,"acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]"
"ENSG00000292330","","Y",1767347,1768776,"p11.2","Yp","no","ENSG00000292330","",NA,"novel transcript"
"ENSG00000310541","","Y",964424,965367,"p11.2","Yp","no","ENSG00000310541","",NA,"novel transcript"
"ENSG00000310543","","Y",600187,600999,"p11.2","Yp","no","ENSG00000310543","",NA,"novel transcript"
"ENSG00000310544","","Y",1248681,1263594,"p11.2","Yp","no","ENSG00000310544","",NA,"novel transcript"
"ENSG00000310545","","Y",1248659,1249661,"p11.2","Yp","no","ENSG00000310545","",NA,"novel transcript"
"ENSG00000310546","","Y",1552740,1565013,"p11.2","Yp","no","ENSG00000310546","",NA,"novel transcript"
"ENSG00000292331","ASMTL-AS1","Y",1401430,1414028,"p11.2","Yp","no","ENSG00000292331","ASMTL-AS1",NA,"ASMTL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25811]"
"ENSG00000310547","","Y",1883825,1894966,"p11.2","Yp","no","ENSG00000310547","",NA,"novel transcript"
"ENSG00000310548","","Y",1111322,1112300,"p11.2","Yp","no","ENSG00000310548","",NA,"novel transcript"
"ENSG00000292349","","Y",386962,511616,"p11.31","Yp","no","ENSG00000292349","",NA,"novel transcript, antisense to PPP2R3B"
"ENSG00000292341","LINC00106","Y",1392679,1400524,"p11.2","Yp","no","ENSG00000292341","LINC00106",751580,"long intergenic non-protein coding RNA 106 [Source:HGNC Symbol;Acc:HGNC:31843]"
"ENSG00000310549","","Y",1337165,1341817,"p11.2","Yp","no","ENSG00000310549","",NA,"novel transcript, antisense to IL3RA"
"ENSG00000310551","","Y",2500245,2503113,"p11.2","Yp","no","ENSG00000310551","",NA,"novel transcript, antisense to DHRSX and ZBED1"
"ENSG00000310552","","Y",2373008,2373119,"p11.2","Yp","no","ENSG00000310552","",NA,"novel transcript"
"ENSG00000292335","","Y",990101,994374,"p11.2","Yp","no","ENSG00000292335","",NA,"novel transcript"
"ENSG00000310553","","Y",267677,276210,"p11.32","Yp","no","ENSG00000310553","",NA,"novel transcript"
"ENSG00000310554","","Y",278946,281825,"p11.32","Yp","no","ENSG00000310554","",NA,"novel transcript, antisense to PLCXD1"
"ENSG00000310556","","Y",1169151,1179160,"p11.2","Yp","no","ENSG00000310556","",NA,"novel transcript"
"ENSG00000310540","LINC02968","Y",1657735,1763312,"p11.2","Yp","no","ENSG00000310540","LINC02968",NA,"long intergenic non-protein coding RNA 2968 [Source:HGNC Symbol;Acc:HGNC:56008]"
"ENSG00000292362","CD99P1","Y",2608406,2666596,"p11.2","Yp","no","ENSG00000292362","CD99P1",401577,"CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]"
"ENSG00000292360","LINC03112","Y",2566022,2609292,"p11.2","Yp","no","ENSG00000292360","LINC03112",101928092,"long intergenic non-protein coding RNA 3112 [Source:HGNC Symbol;Acc:HGNC:56853]"
"ENSG00000310557","","Y",2583664,2606031,"p11.2","Yp","no","ENSG00000310557","",NA,"novel transcript"
"ENSG00000292345","ZBED1","Y",2486414,2502862,"p11.2","Yp","no","ENSG00000292345","ZBED1",9189,"zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]"
"ENSG00000292327","PPP2R3B","Y",333933,386955,"p11.31","Yp","no","ENSG00000292327","PPP2R3B",28227,"protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]"
"ENSG00000292348","CD99","Y",2690988,2741312,"p11.2","Yp","no","ENSG00000292348","CD99",4267,"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"ENSG00000292344","PLCXD1","Y",276322,303358,"p11.32","Yp","no","ENSG00000292344","PLCXD1",55344,"phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"
"ENSG00000292333","P2RY8","Y",1462572,1537187,"p11.2","Yp","no","ENSG00000292333","P2RY8",286530,"P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524]"
"ENSG00000292332","IL3RA","Y",1335025,1382689,"p11.2","Yp","no","ENSG00000292332","IL3RA",3563,"interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]"
"ENSG00000292358","GTPBP6","Y",303346,318846,"p11.31","Yp","no","ENSG00000292358","GTPBP6",8225,"GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189]"
"ENSG00000292334","SLC25A6","Y",1386133,1392929,"p11.2","Yp","no","ENSG00000292334","SLC25A6",293,"solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]"
"ENSG00000292339","ASMTL","Y",1403138,1453786,"p11.2","Yp","no","ENSG00000292339","ASMTL",8623,"acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751]"
"ENSG00000292357","CSF2RA","Y",1268779,1325373,"p11.2","Yp","no","ENSG00000292357","CSF2RA",1438,"colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]"
"ENSG00000292343","AKAP17A","Y",1591604,1602532,"p11.2","Yp","no","ENSG00000292343","AKAP17A",8227,"A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]"
"ENSG00000292364","AMD1P2","Y",57015105,57016096,"q12","Yq","no","ENSG00000292364","AMD1P2",NA,"adenosylmethionine decarboxylase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:460]"
"ENSG00000292365","DPH3P2","Y",57062156,57062405,"q12","Yq","no","ENSG00000292365","DPH3P2",NA,"diphthamide biosynthesis 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38719]"
"ENSG00000292367","ELOCP24","Y",57165512,57165845,"q12","Yq","no","ENSG00000292367","ELOCP24",NA,"elongin C pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:38160]"
"ENSG00000292368","TRPC6P1","Y",57171890,57172769,"q12","Yq","no","ENSG00000292368","TRPC6P1",NA,"TRPC6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23270]"
"ENSG00000292369","","Y",57190738,57208756,"q12","Yq","no","ENSG00000292369","",NA,"novel transcript"
"ENSG00000292371","DDX11L16","Y",57212184,57214397,"q12","Yq","no","ENSG00000292371","DDX11L16",NA,"DEAD/H-box helicase 11 like 16 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37115]"
"ENSG00000292372","WASH6P","Y",57207346,57212230,"q12","Yq","no","ENSG00000292372","WASH6P",NA,"WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]"
"ENSG00000310550","","Y",56919422,56954169,"q12","Yq","no","ENSG00000310550","",NA,"novel transcript, antisense to SPRY3"
"ENSG00000310555","","Y",57138638,57145842,"q12","Yq","no","ENSG00000310555","",NA,"novel transcript"
"ENSG00000292370","WASIR1","Y",57201135,57203405,"q12","Yq","no","ENSG00000292370","WASIR1",100128260,"WASH and IL9R antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:38513]"
"ENSG00000310542","","Y",57208516,57215634,"q12","Yq","no","ENSG00000310542","",NA,"novel transcript, antisense to AJ271736.6"
"ENSG00000292373","IL9R","Y",57184216,57199537,"q12","Yq","no","ENSG00000292373","IL9R",3581,"interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]"
"ENSG00000292366","VAMP7","Y",57067747,57130289,"q12","Yq","no","ENSG00000292366","VAMP7",6845,"vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]"
"ENSG00000215601","TSPY24P","Y",8280198,8282209,"p11.2","Yp","no","ENSG00000215601","TSPY24P",NA,"testis specific protein Y-linked 24, pseudogene [Source:HGNC Symbol;Acc:HGNC:38725]"
"ENSG00000215603","ZNF92P1Y","Y",7853686,7854876,"p11.2","Yp","no","ENSG00000215603","ZNF92P1Y",NA,"zinc finger protein 92 pseudogene 1, Y-linked [Source:HGNC Symbol;Acc:HGNC:39553]"
"ENSG00000225878","SERBP1P2","Y",4801685,4802848,"p11.2","Yp","no","ENSG00000225878","SERBP1P2",NA,"SERPINE1 mRNA binding protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23967]"
"ENSG00000236435","TSPY12P","Y",7687739,7689548,"p11.2","Yp","no","ENSG00000236435","TSPY12P",NA,"testis specific protein Y-linked 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23904]"
"ENSG00000258991","DUX4L19","Y",11332329,11333595,"q11.21","Yq","no","ENSG00000258991","DUX4L19",NA,"double homeobox 4 like 19 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37718]"
"ENSG00000224518","","Y",14941746,14942715,"q11.221","Yq","no","ENSG00000224518","",NA,"cytochrome c, somatic (CYCS) pseudogene"
"ENSG00000231988","OFD1P3Y","Y",9030594,9039988,"p11.2","Yp","no","ENSG00000231988","OFD1P3Y",NA,"OFD1 pseudogene 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:23875]"
"ENSG00000238073","RBMY2HP","Y",7671743,7676024,"p11.2","Yp","no","ENSG00000238073","RBMY2HP",NA,"RNA binding motif protein Y-linked family 2 member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:23893]"
"ENSG00000275866","","Y",8517364,8517748,"p11.2","Yp","no","ENSG00000275866","",NA,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
"ENSG00000271595","ELOCP35","Y",17464879,17465214,"q11.222","Yq","no","ENSG00000271595","ELOCP35",NA,"elongin C pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:49176]"
"ENSG00000183704","SLC9B1P1","Y",11340579,11385687,"q11.21","Yq","no","ENSG00000183704","SLC9B1P1",NA,"solute carrier family 9 member B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37492]"
"ENSG00000232927","USP12PY","Y",3682805,3683868,"p11.2","Yp","no","ENSG00000232927","USP12PY",NA,"USP12 pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:23195]"
"ENSG00000277438","KDM5DP1","Y",20570222,20570519,"q11.223","Yq","no","ENSG00000277438","KDM5DP1",NA,"lysine demethylase 5D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23976]"
"ENSG00000259154","DUX4L17","Y",11314921,11316187,"q11.21","Yq","no","ENSG00000259154","DUX4L17",NA,"double homeobox 4 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37717]"
"ENSG00000273863","","Y",7905536,7907303,"p11.2","Yp","no","ENSG00000273863","",NA,"tripartite motif containing 60 (TRIM60) pseudogene"
"ENSG00000271375","","Y",11473727,11474237,"q11.21","Yq","no","ENSG00000271375","",NA,"immunoglobulin kappa variable 1D-39 (IGKV1D-39) pseudogene"
"ENSG00000224634","ZNF736P6Y","Y",8350931,8352143,"p11.2","Yp","no","ENSG00000224634","ZNF736P6Y",NA,"zinc finger protein 736 pseudogene 6, Y-linked [Source:HGNC Symbol;Acc:HGNC:38440]"
"ENSG00000285470","TUSC2P1","Y",5887504,5888740,"p11.2","Yp","no","ENSG00000285470","TUSC2P1",NA,"TUSC2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23963]"
"ENSG00000234620","PUDPP1","Y",15348662,15456074,"q11.221","Yq","no","ENSG00000234620","PUDPP1",NA,"pseudouridine 5'-phosphatase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20200]"
"ENSG00000236690","","Y",7690511,7692678,"p11.2","Yp","no","ENSG00000236690","",NA,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
"ENSG00000273693","CDRT15P10","Y",11085476,11086061,"q11.21","Yq","no","ENSG00000273693","CDRT15P10",NA,"CDRT15 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:38413]"
"ENSG00000223422","","Y",7678899,7681028,"p11.2","Yp","no","ENSG00000223422","",NA,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
"ENSG00000225653","RNF19BPY","Y",3777997,3779546,"p11.2","Yp","no","ENSG00000225653","RNF19BPY",NA,"ring finger protein 19B pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:38398]"
"ENSG00000228578","TUBB1P2","Y",17516836,17519038,"q11.222","Yq","no","ENSG00000228578","TUBB1P2",NA,"tubulin beta 1 class VI pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23981]"
"ENSG00000275280","","Y",7656968,7657352,"p11.2","Yp","no","ENSG00000275280","",NA,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
"ENSG00000270242","ACTR3BP1","Y",11395699,11397076,"q11.21","Yq","no","ENSG00000270242","ACTR3BP1",NA,"ACTR3B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37724]"
"ENSG00000236477","RPS24P1","Y",12244752,12245457,"q11.21","Yq","no","ENSG00000236477","RPS24P1",NA,"ribosomal protein S24 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10412]"
"ENSG00000237997","RCC2P2","Y",19986575,19987852,"q11.223","Yq","no","ENSG00000237997","RCC2P2",NA,"regulator of chromosome condensation 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38419]"
"ENSG00000244246","ZNF736P8Y","Y",7913422,7914090,"p11.2","Yp","no","ENSG00000244246","ZNF736P8Y",NA,"zinc finger protein 736 pseudogene 8, Y-linked [Source:HGNC Symbol;Acc:HGNC:38406]"
"ENSG00000183753","BPY2","Y",22973819,23005465,"q11.223","Yq","no","ENSG00000183753","BPY2",9083,"basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]"
"ENSG00000225433","MTND1P12","Y",11445418,11445564,"q11.21","Yq","no","ENSG00000225433","MTND1P12",NA,"MT-ND1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42061]"
"ENSG00000235857","CTBP2P1","Y",56855244,56855488,"q12","Yq","no","ENSG00000235857","CTBP2P1",NA,"CTBP2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23940]"
"ENSG00000223955","MTND6P1","Y",8363536,8363959,"p11.2","Yp","no","ENSG00000223955","MTND6P1",NA,"MT-ND6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38730]"
"ENSG00000270455","PABPC1P5","Y",11335627,11337693,"q11.21","Yq","no","ENSG00000270455","PABPC1P5",NA,"poly(A) binding protein cytoplasmic 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37985]"
"ENSG00000234385","RCC2P1","Y",11781052,11782527,"q11.21","Yq","no","ENSG00000234385","RCC2P1",NA,"regulator of chromosome condensation 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37710]"
"ENSG00000226863","SHROOM2P1","Y",12537773,12544883,"q11.221","Yq","no","ENSG00000226863","SHROOM2P1",NA,"shroom family member 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:631]"
"ENSG00000271365","","Y",11107065,11107263,"q11.21","Yq","no","ENSG00000271365","",NA,"family with sequence similarity 201, member A (FAM201A) pseudogene"
"ENSG00000259029","DUX4L18","Y",11321557,11322823,"q11.21","Yq","no","ENSG00000259029","DUX4L18",NA,"double homeobox 4 like 18 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37716]"
"ENSG00000215537","ZNF736P11Y","Y",22866544,22867756,"q11.223","Yq","no","ENSG00000215537","ZNF736P11Y",NA,"zinc finger protein 736 pseudogene 11, Y-linked [Source:HGNC Symbol;Acc:HGNC:38426]"
"ENSG00000229745","BPY2DP","Y",7932997,7937640,"p11.2","Yp","no","ENSG00000229745","BPY2DP",NA,"basic charge Y-linked 2D, pseudogene [Source:HGNC Symbol;Acc:HGNC:38794]"
"ENSG00000275828","CHEK2P1","Y",11412548,11418716,"q11.21","Yq","no","ENSG00000275828","CHEK2P1",NA,"CHEK2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37999]"
"ENSG00000232522","ZNF886P","Y",20001185,20012204,"q11.223","Yq","no","ENSG00000232522","ZNF886P",NA,"zinc finger protein 886, pseudogene [Source:HGNC Symbol;Acc:HGNC:38420]"
"ENSG00000277519","OFD1P16Y","Y",21817579,21818218,"q11.223","Yq","no","ENSG00000277519","OFD1P16Y",NA,"OFD1 pseudogene 16 Y-linked [Source:HGNC Symbol;Acc:HGNC:18213]"
"ENSG00000273731","","Y",8931069,8931454,"p11.2","Yp","no","ENSG00000273731","",NA,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
"ENSG00000215583","ASS1P6","Y",11922536,11923769,"q11.21","Yq","no","ENSG00000215583","ASS1P6",NA,"argininosuccinate synthetase 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:769]"
"ENSG00000274162","SNX18P1Y","Y",11178306,11178816,"q11.21","Yq","no","ENSG00000274162","SNX18P1Y",NA,"sorting nexin 18 pseudogene 1, Y-linked [Source:HGNC Symbol;Acc:HGNC:38442]"
